"pls_id","chd_id","rcs_id"
"3061","1801","68"
"3062","1802","68"
"3063","1314","94"
"3064","1997","5"
"3066","1282","3"
"3067","1821","5"
"3068","1822","5"
"3070","2142","5"
"3072","1916","94"
"3073","1917","94"
"3074","1919","94"
"3075","1908","94"
"3076","1909","94"
"3077","1910","94"
"3078","896","83"
"3079","2087","5"
"3081","2259","83"
"3082","1889","94"
"3083","2164","94"
"3084","1675","83"
"3085","1676","83"
"3086","2269","5"
"3087","2268","5"
"3088","2267","5"
"3089","2110","94"
"3090","1084","5"
"3091","1841","94"
"3092","2281","5"
"3093","1946","94"
"3095","2162","79"
"3097","2280","5"
"3098","1982","1"
"3100","2032","83"
"3101","1879","94"
"3102","1762","5"
"3103","1666","2"
"3105","1669","2"
"3106","1668","2"
"3108","1561","2"
"3113","1559","21"
"3114","1751","83"
"3115","1459","1"
"3116","2066","83"
"3117","1671","94"
"3118","2325","5"
"3119","2324","5"
"3120","1531","26"
"3121","2150","68"
"3122","2187","4"
"3123","2072","94"
"3124","2106","94"
"3125","2108","94"
"3126","2109","94"
"3127","2107","94"
"3128","2137","94"
"3129","2074","94"
"3130","1702","94"
"3132","2191","94"
"3133","1427","83"
"3136","2241","94"
"3137","1804","83"
"3138","1572","5"
"3139","1859","83"
"3140","1895","94"
"3141","1870","26"
"3143","1780","62"
"3144","1901","83"
"3146","1977","103"
"3147","1902","83"
"3148","478","26"
"3149","2233","83"
"3150","2128","94"
"3151","2309","94"
"3152","2310","94"
"3153","2341","83"
"3155","2073","94"
"3156","1959","103"
"3157","1778","5"
"3160","1379","94"
"3161","2075","5"
"3162","1525","83"
"3163","1526","83"
"3164","1955","94"
"3166","1744","103"
"3169","1903","94"
"3170","2377","1002"
"3171","2008","83"
"3172","2378","1002"
"3173","1966","94"
"3174","1967","94"
"3175","2185","94"
"3176","2298","94"
"3178","1410","2"
"3179","2317","94"
"3180","2024","4"
"3181","1963","1002"
"3182","2130","94"
"3183","2132","94"
"3184","2131","94"
"3185","1741","2"
"3186","1642","1"
"3190","1636","33"
"3191","1554","33"
"3192","1860","94"
"3193","2202","1000"
"3194","2203","1000"
"3195","2286","1002"
"3197","2175","83"
"3198","1633","5"
"3199","1930","83"
"3201","2221","5"
"3203","2290","4"
"3204","2289","4"
"3207","1956","1"
"3208","1956","1002"
"3209","2182","1"
"3210","2182","1002"
"3211","2262","1000"
"3212","2391","4"
"3213","2044","83"
"3214","2236","114"
"3215","2237","114"
"3217","2176","94"
"3218","2060","94"
"3220","1779","94"
"3221","1736","94"
"3222","151","83"
"3223","1873","5"
"3224","1872","5"
"3226","2260","1000"
"3227","2261","1000"
"3228","1505","83"
"3229","2204","1002"
"3230","2204","1000"
"3231","2205","1000"
"3232","2205","1002"
"3234","1914","1"
"3236","2421","1002"
"3237","2420","1002"
"3238","1173","1002"
"3242","2189","83"
"3243","2161","4"
"3244","2390","94"
"3245","1281","83"
"3246","1330","5"
"3247","1330","1000"
"3248","1878","2"
"3249","1878","5"
"3250","1876","2"
"3251","1876","5"
"3252","1877","2"
"3253","1877","5"
"3254","1940","1"
"3255","1939","1"
"3256","1869","83"
"3257","2192","33"
"3261","2263","94"
"3264","2225","26"
"3265","842","26"
"3266","1417","2"
"3267","395","83"
"3268","2140","4"
"3269","1425","83"
"3270","1424","26"
"3271","2407","83"
"3272","2214","83"
"3273","897","94"
"3274","2464","94"
"3275","2046","94"
"3276","1985","15"
"3280","704","90"
"3281","1432","94"
"3284","1348","1"
"3285","1235","5"
"3287","2147","114"
"3288","1716","94"
"3289","919","1002"
"3290","919","5"
"3292","1581","1"
"3293","1319","83"
"3294","1409","2"
"3295","2415","94"
"3296","2411","94"
"3297","2384","1000"
"3298","2033","83"
"3299","2092","83"
"3300","1987","5"
"3301","1987","2"
"3302","2013","1"
"3306","1567","94"
"3307","1611","83"
"3309","2027","33"
"3310","2330","114"
