"fsn_id","fam_id","spn_id"
"1284","37137","30"
"1285","37613","40"
"1286","37613","50"
"1287","37509","70"
"1288","37509","40"
"1289","37509","50"
"1290","37412","30"
"1291","38915","40"
"1292","38915","50"
"1295","39266","40"
"1296","39266","50"
"1297","38144","40"
"1298","38144","50"
"1305","37690","70"
"1306","37690","10"
"1307","37690","40"
"1308","39257","50"
"1309","39406","70"
"1310","39427","40"
"1311","39427","50"
"1312","38187","40"
"1313","38187","50"
"1314","33167","40"
"1315","33167","50"
"1316","36552","40"
"1317","36552","50"
"1318","35966","70"
"1319","35966","40"
"1320","35966","30"
"1321","35966","50"
"1322","33070","70"
"1323","37665","70"
"1324","37665","40"
"1325","37665","50"
"1326","39586","40"
"1327","39586","50"
"1328","34455","20"
"1329","34455","40"
"1330","34455","50"
"1331","22407","20"
"1332","22407","10"
"1333","22407","60"
"1334","22407","40"
"1335","22407","50"
"1336","22407","70"
"1337","32840","40"
"1338","32840","50"
"1339","39759","40"
"1340","39759","50"
"1341","34860","70"
"1342","34860","20"
"1343","34860","60"
"1344","34860","40"
"1345","34860","50"
"1346","37532","50"
"1347","39872","70"
"1348","39877","70"
"1349","39964","70"
"1350","39964","40"
"1351","39964","50"
"1352","38919","70"
"1353","38919","40"
"1354","38919","50"
"1355","39324","40"
"1356","39324","50"
"1357","32550","40"
"1358","32550","50"
"1359","37863","40"
"1360","37863","50"
"1361","40277","40"
"1362","40277","50"
"1363","25730","40"
"1364","25730","50"
"1365","40006","70"
"1366","40006","20"
"1367","40006","10"
"1368","40006","60"
"1369","40006","40"
"1370","40006","30"
"1371","34945","40"
"1372","34945","50"
"1373","37924","40"
"1374","37924","50"
"1375","40323","70"
"1376","35840","50"
"1377","38414","60"
"1378","38414","40"
"1379","38414","30"
"1380","38414","50"
"1381","40432","40"
"1382","40432","30"
"1383","40432","50"
"1384","39299","40"
"1385","38151","40"
"1386","36924","50"
"1387","38839","60"
"1388","38164","70"
"1389","37174","70"
"1390","37174","20"
"1391","37174","40"
"1392","37174","50"
"1393","32860","40"
"1394","32860","50"
"1395","38069","70"
"1396","38069","10"
"1397","38069","60"
"1398","38069","40"
"1399","38069","50"
"1400","32812","40"
"1401","32812","50"
"1402","39663","40"
"1403","39663","50"
"1404","21955","40"
"1405","21955","30"
"1406","21955","50"
"1407","31335","70"
"1408","41474","20"
"1409","41474","40"
"1410","41474","50"
"1413","41691","40"
"1414","41691","50"
"1415","33856","10"
"1416","33856","50"
"1417","42048","60"
"1418","42048","40"
"1419","42048","50"
"1422","41101","60"
"1423","41101","40"
"1424","41101","50"
"1425","9527","70"
"1426","9527","40"
"1427","9527","50"
"1428","40249","70"
"1429","40249","40"
"1430","40885","70"
"1431","42270","40"
"1432","42270","50"
"1433","42355","70"
"1434","40592","40"
"1435","40592","50"
"1436","39646","40"
"1437","39646","50"
"1438","42355","30"
"1439","40112","40"
"1440","41836","40"
"1441","41836","50"
"1442","42426","40"
"1443","42426","50"
"1444","40180","20"
"1445","40180","10"
"1446","40180","60"
"1447","40180","40"
"1448","40180","50"
"1449","41770","30"
"1450","38151","50"
"1451","42586","40"
"1452","42586","50"
"1453","40229","70"
"1454","40229","60"
"1455","42586","70"
"1456","42586","60"
"1459","41931","70"
"1460","39126","70"
"1461","41361","70"
"1463","41361","30"
"1464","35188","50"
"1465","41361","40"
"1466","41361","50"
"1467","36890","40"
"1468","36890","50"
"1469","42888","60"
"1470","42888","40"
"1471","42888","30"
"1472","42888","50"
"1473","41902","60"
"1474","41902","40"
"1475","41902","50"
"1476","41494","70"
