"fss_id","fam_id","ssv_id"
"1464","24626","30"
"1465","24626","20"
"1466","5476","40"
"1467","5476","20"
"1468","5476","50"
"1469","8233","30"
"1470","8233","20"
"1471","8233","50"
"1472","19190","30"
"1473","19190","20"
"1474","8721","20"
"1475","8721","50"
"1476","20153","40"
"1478","20153","50"
"1481","19889","50"
"1482","31436","40"
"1483","31436","50"
"1484","29424","70"
"1486","31449","70"
"1487","31450","70"
"1488","31465","10"
"1489","31465","70"
"1491","31606","70"
"1492","27872","20"
"1493","27872","50"
"1494","27872","70"
"1495","14605","70"
"1496","31612","70"
"1497","31613","70"
"1498","31602","70"
"1499","31637","40"
"1500","31637","20"
"1501","31637","50"
"1502","20053","70"
"1503","31638","70"
"1506","31678","70"
"1508","31679","70"
"1511","31714","70"
"1512","31723","70"
"1513","31724","70"
"1514","21276","70"
"1515","30294","70"
"1516","31747","70"
"1517","31748","70"
"1518","25249","70"
"1520","25461","70"
"1521","31700","70"
"1522","23548","70"
"1524","31847","70"
"1525","31849","70"
"1526","31866","70"
"1527","31888","70"
"1528","31890","70"
"1529","28093","70"
"1531","31895","70"
"1532","29260","70"
"1533","31942","70"
"1534","31953","70"
"1535","30134","70"
"1536","29823","70"
"1537","28837","70"
"1539","31997","70"
"1541","31998","70"
"1543","29756","10"
"1544","8764","60"
"1545","31700","10"
"1547","32011","70"
"1548","25249","10"
"1549","24251","70"
"1550","30412","70"
"1551","19535","70"
"1552","32033","70"
"1553","32041","70"
"1554","19069","70"
"1555","24925","10"
"1556","32059","10"
"1557","32059","70"
"1558","32060","10"
"1559","32060","70"
"1563","32134","70"
"1564","32181","70"
"1565","30412","10"
"1569","32193","70"
"1570","32182","70"
"1571","32195","70"
"1572","32197","70"
"1573","32202","70"
"1574","32203","70"
"1575","32204","70"
"1576","32205","70"
"1577","26143","40"
"1578","26143","30"
"1579","32217","70"
"1581","32220","70"
"1582","32230","40"
"1583","32230","30"
"1584","32231","40"
"1585","32231","30"
"1587","14927","50"
"1588","27525","50"
"1589","32260","40"
"1591","32260","50"
"1595","32261","50"
"1596","32263","10"
"1597","32272","40"
"1599","32272","50"
"1600","10802","50"
"1603","23734","10"
"1604","2010","10"
"1606","32357","40"
"1608","32357","50"
"1609","30593","50"
"1611","32476","80"
"1612","32476","30"
"1614","27147","10"
"1615","32520","40"
"1617","32530","20"
"1618","32388","10"
"1619","32599","50"
"1622","32698","10"
"1624","32751","40"
"1625","32751","80"
"1626","32751","30"
"1628","32751","50"
"1630","32486","10"
"1635","31863","10"
"1636","32868","40"
"1637","32868","80"
"1638","32868","30"
"1640","32868","50"
"1641","32869","40"
"1642","32869","80"
"1643","32869","30"
"1645","32869","50"
"1648","32912","40"
"1650","32912","50"
"1653","30082","40"
"1654","30082","50"
"1655","32984","40"
"1656","32984","20"
"1657","32984","50"
